№,Name:,Price:,images
1,Сотовый телефон Apple iPhone 15 Pro 128GB голубой титан,102830 сом,https://www.kivano.kg/images/product/126394/1694665974_53217900.jpg
2,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB зеленый,"90210 сом
-1%

89300 сом",https://www.kivano.kg/images/product/118784/1679158987_31384800.jpg
3,Сотовый телефон Samsung Galaxy Z Flip 5 8/512GB кремовый,64260 сом,https://www.kivano.kg/images/product/128256/1697901834_63832900.jpg
4,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB кремовый,"90210 сом
-1%

89300 сом",https://www.kivano.kg/images/product/118785/1679159066_25158800.jpg
5,Сотовый телефон Samsung Galaxy Z Flip 5 8/512GB лавандовый,64260 сом,https://www.kivano.kg/images/product/128257/1697901941_07758200.jpg
6,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB графит,"90210 сом
-1%

89300 сом",https://www.kivano.kg/images/product/118786/1679159154_75202700.jpg
7,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB голубой,"90210 сом
-1%

89300 сом",https://www.kivano.kg/images/product/118787/1679159225_02657600.jpg
8,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB лайм,"90210 сом
-1%

89300 сом",https://www.kivano.kg/images/product/118788/1679159303_34858200.jpg
9,Сотовый телефон Samsung Galaxy S23 Ultra 12/512GB красный,"90210 сом
-1%

89300 сом",https://www.kivano.kg/images/product/118789/1679159390_27278700.jpg
10,Сотовый телефон Xiaomi Redmi 12C 6/128GB черный,10280 сом,https://www.kivano.kg/images/product/118790/1679159972_25379300.jpg
11,Сотовый телефон Xiaomi Redmi 12C 6/128GB мятный,"10460 сом
-2%

10280 сом",https://www.kivano.kg/images/product/118791/1679159976_98230000.jpg
12,Сотовый телефон Xiaomi Redmi 12C 6/128GB синий,"10460 сом
-2%

10280 сом",https://www.kivano.kg/images/product/118792/1679159979_27279600.jpg
13,Сотовый телефон Samsung Galaxy A14 4G 4/128GB зеленый,"12180 сом
-2%

11910 сом",https://www.kivano.kg/images/product/118793/1679160263_12359900.jpg
14,Сотовый телефон Apple iPhone 13 128GB зеленый,56100 сом,https://www.kivano.kg/images/product/105482/1650357323_84906500.png
15,Сотовый телефон Apple iPhone 13 256GB зеленый,71440 сом,https://www.kivano.kg/images/product/105483/1650357352_25448500.png
16,Сотовый телефон Xiaomi 12 12/256GB голубой,45640 сом,https://www.kivano.kg/images/product/105228/1649419104_93416600.jpg
17,Сотовый телефон Apple iPhone 13 mini 128GB зеленый,"59480 сом
-1%

59020 сом",https://www.kivano.kg/images/product/109836/1660984279_46653000.jpg
18,Сотовый телефон Xiaomi 12 12/256GB серый,45640 сом,https://www.kivano.kg/images/product/105229/1649419306_24235400.jpg
19,Сотовый телефон Xiaomi 12 Lite 6/128GB черный,26970 сом,https://www.kivano.kg/images/product/109071/1658516810_62408600.jpg
20,Сотовый телефон Xiaomi 12 Lite 6/128GB зеленый,26970 сом,https://www.kivano.kg/images/product/109072/1658516838_91747800.jpg
